zip,lat,lon
70001,29.98272,-90.16881
70002,30.0102,-90.16241
70003,29.99874,-90.21418
70005,30.00024,-90.13422
70006,30.01393,-90.19171
70030,29.81635,-90.43526
70031,29.94401,-90.29666
70032,29.95128,-89.9958
70036,29.69855,-90.12667
70037,29.78669,-90.01523
70038,29.33105,-89.4007
70039,29.88274,-90.37925
70040,29.75806,-89.92327
70041,29.33194,-89.46978
70043,29.9571,-89.96481
70047,29.96686,-90.36552
70049,30.03062,-90.55911
70050,29.38351,-89.59601
70051,30.07356,-90.63999
70052,30.07103,-90.68731
70053,29.91456,-90.05318
70056,29.88848,-90.03028
70057,29.95949,-90.45897
70058,29.8701,-90.06708
70062,29.98924,-90.25579
70065,30.02767,-90.25405
70067,29.72008,-90.10383
70068,30.14113,-90.43502
70070,29.83302,-90.3052
70071,30.05123,-90.70291
70072,29.83012,-90.12724
70075,29.93158,-89.92081
70076,30.04945,-90.63678
70079,30.00172,-90.41218
70080,29.8743,-90.43227
70082,29.5658,-89.75677
70083,29.52342,-89.85211
70084,30.07242,-90.57251
70085,29.81629,-89.76127
70086,30.02628,-90.88198
70087,29.98092,-90.31264
70090,29.96725,-90.6934
70091,29.17723,-89.23204
70092,29.90026,-89.89598
70094,29.91162,-90.20876
70112,29.95608,-90.07733
70113,29.9422,-90.08382
70114,29.93704,-90.0321
70115,29.92375,-90.10219
70116,29.96697,-90.06448
70117,29.9685,-90.03004
70118,29.9451,-90.1257
70119,29.97567,-90.08729
70121,29.9608,-90.15881
70122,30.00835,-90.06467
70123,29.951,-90.20501
70124,30.00747,-90.10378
70125,29.95202,-90.10338
70126,30.01948,-90.01739
70127,30.02966,-89.9761
70128,30.04896,-89.95398
70129,30.08239,-89.81617
70130,29.93671,-90.06949
70131,29.9081,-89.96044
70139,29.95023,-90.071
70148,30.0287,-90.06753
70163,29.94998,-90.07546
70301,29.81431,-90.7411
70310,29.79048,-90.80301
70339,29.92987,-91.18357
70340,29.66974,-91.1043
70341,30.02579,-91.08267
70342,29.69486,-91.23772
70343,29.55308,-90.56402
70344,29.39711,-90.63777
70345,29.51815,-90.23763
70346,30.10774,-91.02061
70352,29.68561,-90.94486
70353,29.36598,-90.70554
70354,29.43136,-90.34336
70355,29.69491,-90.42916
70356,29.64142,-90.95953
70357,29.28451,-90.17463
70358,29.21367,-90.0306
70359,29.68649,-90.77859
70360,29.58396,-90.81001
70363,29.51516,-90.70404
70364,29.63419,-90.68752
70372,29.78249,-90.9889
70373,29.61335,-90.31919
70374,29.59924,-90.50319
70375,29.69491,-90.53257
70377,29.45808,-90.51361
70380,29.71944,-91.12634
70390,29.89068,-91.03616
70391,29.99516,-91.06029
70392,29.69847,-91.32164
70393,29.9959,-90.99897
70394,29.69448,-90.61399
70395,29.69309,-90.8513
70397,29.38444,-90.823
70401,30.5281,-90.45472
70402,30.51652,-90.46932
70403,30.47989,-90.48639
70420,30.48767,-89.95907
70422,30.73699,-90.491
70426,30.93142,-89.85807
70427,30.74587,-89.9125
70431,30.61211,-89.97215
70433,30.46184,-90.13796
70435,30.55955,-90.101
70436,30.83057,-90.53315
70437,30.60909,-90.20928
70438,30.84139,-90.11186
70441,30.85987,-90.7489
70442,30.70307,-90.33433
70443,30.62885,-90.54257
70444,30.90833,-90.48707
70445,30.36352,-89.91265
70446,30.63612,-90.35159
70447,30.42144,-90.20257
70448,30.36278,-90.03943
70449,30.26363,-90.66345
70450,30.93667,-90.26755
70451,30.54964,-90.48111
70452,30.41424,-89.76048
70453,30.69385,-90.76918
70454,30.39525,-90.3682
70455,30.52438,-90.31883
70456,30.79332,-90.50702
70457,30.52743,-90.11332
70458,30.25864,-89.79441
70460,30.29925,-89.83455
70461,30.2326,-89.70931
70462,30.3656,-90.58368
70463,30.6551,-89.90162
70464,30.54416,-89.89221
70465,30.87577,-90.51384
70466,30.5685,-90.50195
70471,30.407,-90.06346
70501,30.2391,-91.99122
70503,30.17353,-92.05901
70506,30.19586,-92.08075
70507,30.28293,-92.02825
70508,30.15627,-92.02913
70510,29.89493,-92.19569
